2025-11-08 20:14:20 | INFO     | QuoteParser | 🚀 Универсальный парсер цитат инициализирован
2025-11-08 20:14:20 | INFO     | QuoteParser | 🤖 Проверяем robots.txt: http://quotes.toscrape.com/robots.txt
2025-11-08 20:14:21 | INFO     | QuoteParser | ✅ robots.txt не найден - доступ разрешен
2025-11-08 20:14:21 | INFO     | QuoteParser | 🎯 Определен сайт: Quotes to Scrape
2025-11-08 20:14:21 | INFO     | QuoteParser | 🎯 Начало парсинга: http://quotes.toscrape.com
2025-11-08 20:14:21 | INFO     | QuoteParser | ⏰ Задержка между запросами: 1 сек
2025-11-08 20:14:21 | INFO     | QuoteParser | 📄 Страница 1: http://quotes.toscrape.com
2025-11-08 20:14:21 | INFO     | QuoteParser | 📊 Распаршено цитат: 10
2025-11-08 20:14:21 | INFO     | QuoteParser | ✅ Страница 1: 10 новых цитат
2025-11-08 20:14:21 | INFO     | QuoteParser | ➡️ Переход на: http://quotes.toscrape.com/page/2/
2025-11-08 20:14:21 | INFO     | QuoteParser | 📄 Страница 2: http://quotes.toscrape.com/page/2/
2025-11-08 20:14:22 | INFO     | QuoteParser | 📊 Распаршено цитат: 9
2025-11-08 20:14:22 | INFO     | QuoteParser | ✅ Страница 2: 9 новых цитат
2025-11-08 20:14:22 | INFO     | QuoteParser | ➡️ Переход на: http://quotes.toscrape.com/page/3/
2025-11-08 20:14:22 | INFO     | QuoteParser | 📄 Страница 3: http://quotes.toscrape.com/page/3/
2025-11-08 20:14:23 | INFO     | QuoteParser | 📊 Распаршено цитат: 10
2025-11-08 20:14:23 | INFO     | QuoteParser | ✅ Страница 3: 10 новых цитат
2025-11-08 20:14:23 | INFO     | QuoteParser | ➡️ Переход на: http://quotes.toscrape.com/page/4/
2025-11-08 20:14:23 | INFO     | QuoteParser | 📄 Страница 4: http://quotes.toscrape.com/page/4/
2025-11-08 20:14:25 | INFO     | QuoteParser | 📊 Распаршено цитат: 10
2025-11-08 20:14:25 | INFO     | QuoteParser | ✅ Страница 4: 10 новых цитат
2025-11-08 20:14:25 | INFO     | QuoteParser | ➡️ Переход на: http://quotes.toscrape.com/page/5/
2025-11-08 20:14:25 | INFO     | QuoteParser | 📄 Страница 5: http://quotes.toscrape.com/page/5/
2025-11-08 20:14:26 | INFO     | QuoteParser | 📊 Распаршено цитат: 10
